"","nleaf","L1","L2","MSE"
"204",30,5e+06,20000,4946475212260.54
"205",30,1e+08,0,5348270999364.82
"206",30,1e+08,100,5042722767979.4
"207",30,1e+08,500,5350227530653.88
"208",30,1e+08,1000,5335644717018.98
"209",30,1e+08,5000,5111881377562.67
"210",30,1e+08,10000,5051080276579.65
"211",30,1e+08,20000,5091960217257.9
"212",10,0,0,5470349419783.44
"213",10,0,100,5100044097008.3
"214",10,0,500,4850368071111.62
"215",10,0,1000,4804729987952.35
"216",10,0,5000,4781893280977.06
"217",10,0,10000,4810594577841.36
"218",10,0,20000,4838794501179.51
"219",10,1e+05,0,5468402776120.36
"220",10,1e+05,100,5099977275768.34
"221",10,1e+05,500,4836025130498.4
"222",10,1e+05,1000,4804738885602.95
"223",10,1e+05,5000,4801473406935.18
"224",10,1e+05,10000,4804036258161.45
"225",10,1e+05,20000,4809151191450.16
"226",10,5e+05,0,5594128369950.09
