"","l_W","l_L","l_GS","l_CG","l_SHO","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_WP","l_HBP","l_BFP","l_R","l_SH","l_SF","l_GIDP","round","po_L","po_GS","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_BFP","po_R","GP","salary","kwERA","BSR","l_GM","attendance.f","career","b1.WHIP","b1.FIP","b1.kwERA","b1.BSR","b1.round","b1.l_GM","b2.WHIP","b2.kwERA","b2.BSR","b2.round"
"56",0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301000,5.4,0,1,3,4,1.38036809815951,3.80736196319018,6.02068965517241,26.2794132837517,0,55,2.04,4.82857142857143,6.18090544365925,0
"57",1,0,0,0,0,11,4,1,1,3,3,0,0,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,301000,6.2,4.23014548056284,4,1,5,0,3.2,5.4,0,0,1,1.38036809815951,6.02068965517241,26.2794132837517,0
"58",3,4,8,0,0,229,91,42,6,32,49,4,3,344,49,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,950000,5.95813953488372,49.7634809946886,30,0,2,1.3015873015873,3.88253968253968,6.66078799249531,67.1860311390886,0,18,1.57081545064378,6.45382436260623,51.5702423685577,0
"59",0,2,0,0,0,149,56,29,3,29,39,5,0,232,35,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,6.02068965517241,31.5078430554068,49,0,3,1.61135371179039,4.23493449781659,5.95813953488372,49.7634809946886,0,30,1.3015873015873,6.66078799249531,67.1860311390886,0
"60",8,8,9,0,0,292,102,67,13,55,48,2,2,448,74,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1250000,5.23928571428571,71.1577939417754,45,0,4,1.71140939597315,4.04563758389262,6.02068965517241,31.5078430554068,0,49,1.61135371179039,5.95813953488372,49.7634809946886,0
"61",4,3,0,0,0,177,47,23,3,33,46,6,3,253,26,3,6,7,1,0,0,16,3,1,1,1,4,19,1,0,3e+06,6.30118577075099,24.5970485121351,75,1,5,1.61301369863014,5.61438356164384,5.23928571428571,71.1577939417754,0,45,1.71140939597315,6.02068965517241,31.5078430554068,0
"62",1,1,0,0,0,235,78,29,9,25,80,6,3,335,36,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3500000,7.26268656716418,45.0501361441709,74,1,6,1.35593220338983,3.67457627118644,6.30118577075099,24.5970485121351,1,75,1.61301369863014,5.23928571428571,71.1577939417754,0
"63",2,2,0,0,0,187,42,12,3,31,55,5,3,248,14,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,4e+06,6.56129032258065,20.685172146094,74,2,7,1.31489361702128,3.72340425531915,7.26268656716418,45.0501361441709,0,74,1.35593220338983,6.30118577075099,24.5970485121351,1
"64",4,3,0,0,0,150,56,23,4,24,44,4,3,228,25,7,1,4,1,0,0,12,1,2,0,2,4,14,2,0,4500000,6.55789473684211,31.6767798137579,53,3,8,1.17112299465241,3.55294117647059,6.56129032258065,20.685172146094,0,74,1.31489361702128,7.26268656716418,45.0501361441709,0
"65",3,2,0,0,0,185,47,18,5,24,54,4,4,259,22,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5e+06,6.74362934362934,25.2031608155387,67,3,9,1.6,3.8,6.55789473684211,31.6767798137579,1,53,1.17112299465241,6.56129032258065,20.685172146094,0
"66",1,2,0,0,0,190,57,19,1,23,57,5,3,267,23,4,0,7,1,0,0,31,5,0,0,3,10,40,0,0,6e+06,6.83820224719101,21.9024381100547,67,3,10,1.15135135135135,3.71891891891892,6.74362934362934,25.2031608155387,0,67,1.6,6.55789473684211,31.6767798137579,1
"67",1,5,0,0,0,101,27,14,2,17,21,2,4,146,14,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6e+06,5.81095890410959,14.1714465456431,39,3,11,1.26315789473684,2.78947368421053,6.83820224719101,21.9024381100547,1,67,1.15135135135135,6.74362934362934,25.2031608155387,0
