"","yearID","stint","teamID","lgID","l_W","l_L","l_G","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","birthYear","birthCountry","throws","debut","GP","n_award","divID","Rank","G","W","attendance","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR"
"1599",1999,1,21,1,3,7,59,0,0,0,3,215,68,33,9,43,88,4,9,3,0,329,12,42,7,1,5,4.14418604651163,0.206686930091185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,1,1,1998,0,0,2,4,161,75,3225334,101,205000,1.54883720930233,4.13488372093023,4.72527650950732,12498.5931799949,7.07781155015198,47.8363779129246
"1600",2000,2,20,1,2,1,11,0,0,0,0,48,19,14,1,11,14,2,2,2,0,80,4,14,1,2,2,7.875,0.2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,1,1,1998,0,0,1,4,162,82,3295129,125,205000,1.875,4.325,6.1506475,8140.26331251931,5.85,11.4194287231747
"1601",2011,1,14,2,4,4,57,0,0,0,0,186,55,19,8,31,65,2,9,0,1,266,19,20,3,0,4,2.75806451612903,0.206766917293233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,1,1,2011,0,0,2,4,162,71,1724450,101,1400000,1.38709677419355,4.18387096774194,4.00255682148921,18780.0158968932,7.02406015037594,37.4486180746823
"1602",2012,1,14,2,3,1,73,0,0,0,2,194,54,25,4,22,65,2,4,1,0,260,20,27,1,2,8,3.47938144329897,0.207692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,1,1,2011,0,0,2,3,162,72,1739859,100,1600000,1.17525773195876,2.9680412371134,2.81353196867566,14739.3034378683,7.43076923076923,25.5132394128412
"1603",2013,1,14,2,7,5,57,0,0,0,1,144,49,18,6,22,44,3,5,2,0,210,14,19,2,3,5,3.375,0.233333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,1,1,2011,0,0,2,3,162,86,1750754,103,1280000,1.47916666666667,4.30416666666667,4.72916611607143,15651.0129288705,6.71428571428571,31.6084228792632
"1604",2014,1,14,2,6,1,67,0,0,0,3,177,52,27,10,24,34,1,2,0,0,244,20,32,2,1,7,4.11864406779661,0.213114754098361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,1,1,2011,0,0,2,2,162,89,1956482,104,1475000,1.28813559322034,5.42033898305085,3.97237424284523,12949.6514740492,5.94098360655738,38.2555172497512
"1605",2002,1,2,1,3,11,45,9,0,0,1,292,84,43,11,59,81,4,1,8,0,431,14,56,7,8,7,3.97602739726027,0.194895591647332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,2,1,2001,0,0,2,5,162,67,2693096,98,215000,1.46917808219178,4.94657534246575,4.49291656827067,12640.2513539331,5.90116009280742,57.7784236845042
"1606",2003,1,2,1,2,7,25,6,0,0,0,183,66,41,7,28,65,0,4,7,0,284,3,44,7,2,3,6.04918032786885,0.232394366197183,1,0,0,1,0,0,0,0,3,0,0,0,1,2,0,0,0,0,4,1,0,0,0,0,0,0,1978,2,1,2001,0,0,2,1,162,88,2962630,101,340000,1.54098360655738,4.28196721311475,5.23380197702609,8562.5642897322,6.66760563380282,41.123909098014
"1607",2004,1,8,1,6,2,50,0,0,0,0,216,59,22,7,30,70,1,1,2,0,300,22,24,4,1,7,2.75,0.196666666666667,1,0,0,3,0,0,0,0,11,6,4,0,4,4,0,0,1,0,22,1,4,0,0,0,9.81818181818182,0.272727272727273,1978,2,1,2001,0,0,3,1,162,96,2327565,100,370000,1.23611111111111,3.81111111111111,3.24536975,18648.6032250442,6.96,34.3702906436418
"1608",2005,1,11,2,0,3,28,0,0,0,0,98,38,27,5,22,34,4,3,4,0,159,14,33,0,2,4,7.43877551020408,0.238993710691824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,2,1,2001,0,0,1,2,162,88,2109118,100,600000,1.83673469387755,5.12857142857143,6.86782164035426,6894.09954615833,6.30566037735849,28.9515305859427
